,Unnamed: 0,Key,Ans,Marks,Similarity,Grammer,Keyword
0,0,A plane is taking off.,An air plane is taking off.,5.0,0.99661887,0.9950372576713562,1.0
1,1,A man is playing a large flute.,A man is playing a flute.,3.8,0.7983085,0.9959362745285034,1.0
2,2,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.8,0.7813844,0.9961193799972534,0.5625
3,3,Three men are playing chess.,Two men are playing chess.,2.6,0.5048383,0.995900571346283,0.6666666666666666
4,4,A man is playing the cello.,A man seated is playing the cello.,4.25,0.8752957,0.7154828310012817,1.0
5,5,Some men are fighting.,Two men are fighting.,4.25,0.905785,0.9949647188186646,1.0
6,6,A man is smoking.,A man is skating.,0.5,0.064950496,0.995222508907318,1.0
7,7,The man is playing the piano.,The man is playing the guitar.,1.6,0.3065323,0.9948557615280152,0.5
8,8,A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.2,0.4810721,0.994751751422882,1.0
9,9,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5.0,0.99683595,0.9951098561286926,1.0
10,10,The man hit the other man with a stick.,The man spanked the other man with a stick.,4.2,0.89204717,0.991744101047516,1.0
11,11,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.6,0.9184308,0.9939026832580566,0.5
12,12,A man is playing a flute.,A man is playing a bamboo flute.,3.867,0.76872003,0.996094048023224,1.0
13,13,A person is folding a piece of paper.,Someone is folding a piece of paper.,4.667,0.9947633,0.995956003665924,0.6666666666666666
14,14,A man is running on the road.,A panda dog is running on the road.,1.667,0.30618727,0.9959132075309752,0.5
15,15,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.75,0.7768651,0.9939494132995604,1.0
16,16,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5.0,0.9968221,0.996402621269226,0.6428571428571429
17,17,A woman is writing.,A woman is swimming.,0.5,0.08147533,0.995166540145874,0.5
18,18,A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.8,0.771118,0.9939462542533876,1.0
19,19,The man is riding a horse.,A man is riding on a horse.,5.0,0.9967926,0.9961024522781372,1.0
20,20,A man pours oil into a pot.,A man pours wine in a pot.,3.2,0.5690799,0.99432110786438,0.6666666666666666
21,21,A man is playing a guitar.,A girl is playing a guitar.,2.8,0.48936918,0.9956678152084352,0.4857142857142857
22,22,A panda is sliding down a slide.,A panda slides down a slide.,4.6,0.99521196,0.9963573813438416,1.0
23,23,A woman is eating something.,A woman is eating meat.,3.0,0.6454198,0.995187520980835,1.0
24,24,A woman peels a potato.,A woman is peeling a potato.,5.0,0.99670863,0.9951674938201904,1.0
25,25,The boy fell off his bike.,A boy falls off his bike.,4.8,0.9967378,0.9952476620674132,1.0
26,26,The woman is playing the flute.,A woman is playing a flute.,5.0,0.9967885,0.9960058331489564,1.0
27,27,A rabbit is running from an eagle.,A hare is running from a eagle.,4.2,0.79301214,0.9906092882156372,0.5
28,28,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,4.2,0.86024547,0.9954060316085817,0.5
29,29,A girl is flying a kite.,A girl running is flying a kite.,4.0,0.84486693,0.8008601665496826,1.0
30,30,A man is riding a mechanical bull.,A man rode a mechanical bull.,4.0,0.91919374,0.9948065876960754,0.6428571428571429
31,31,The man is playing the guitar.,A man is playing a guitar.,4.909,0.9967224,0.9958698153495787,0.660377358490566
32,32,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,3.0,0.57831013,0.992142915725708,0.5
33,33,A man is slicing a bun.,A man is slicing an onion.,2.4,0.36215556,0.9960430860519408,0.5
34,34,A man is pouring oil into a pan.,A man is pouring oil into a skillet.,4.2,0.8367023,0.9957506656646729,0.6792452830188679
35,35,A lion is playing with people.,A lion is playing with two men.,3.4,0.73530537,0.9936123490333556,0.4857142857142857
36,36,A dog rides a skateboard.,A dog is riding a skateboard.,5.0,0.9968304,0.9951539039611816,1.0
37,37,Someone is carving a statue.,A man is carving a statue.,3.75,0.7339191,0.9962608218193054,1.0
38,38,A woman is slicing an onion.,A man is cutting an onion.,2.75,0.5032976,0.9959442019462584,1.0
39,39,A woman peels shrimp.,A woman is peeling shrimp.,5.0,0.99673164,0.9942790269851683,1.0
40,40,A woman is frying fish.,A woman is cooking fish.,4.0,0.82639563,0.9958266615867616,1.0
41,41,A woman is playing an electric guitar.,A woman is playing a guitar.,3.6,0.74988747,0.9956713914871216,1.0
42,42,A baby tiger is playing with a ball.,A baby is playing with a doll.,1.6,0.37376887,0.9961202144622804,0.5
43,43,A person is slicing a tomato.,A person is slicing some meat.,1.75,0.34051633,0.9958621263504028,0.5
44,44,A person cuts an onion.,A person is cutting an onion.,5.0,0.9967154,0.9950475692749025,1.0
45,45,A man is playing the piano.,A woman is playing the violin.,1.0,0.1903881,0.995849609375,0.5
46,46,A woman is playing the flute.,A man is playing the guitar.,1.0,0.2668757,0.9958544969558716,0.5
47,47,A man is cutting up a potato.,A man is cutting up carrots.,2.375,0.40333554,0.9954524636268616,0.5
48,48,A kid is playing guitar.,A boy is playing a guitar.,3.8,0.77842873,0.9958930015563964,0.4857142857142857
49,49,A boy is playing guitar.,A man is playing a guitar.,3.2,0.623693,0.9958698153495787,0.4857142857142857
50,50,A man is playing guitar.,A boy is playing a guitar.,3.2,0.623712,0.9958930015563964,0.4857142857142857
51,51,A little boy is playing a keyboard.,A boy is playing key board.,4.4,0.9572816,0.766069769859314,0.35714285714285715
52,52,A man is playing a guitar.,A man is playing an electric guitar.,3.75,0.75439274,0.9960882663726808,0.660377358490566
53,53,A dog licks a baby.,A dog is licking a baby.,4.75,0.99678695,0.9952180981636048,1.0
54,54,A woman is slicing an onion.,A man is cutting and onion.,3.2,0.49685478,0.9456612467765808,1.0
55,55,A man is playing the guitar.,A man is playing the drums.,1.556,0.29754367,0.9956945180892944,0.5142857142857142
56,56,A woman is slicing a pepper.,A woman is cutting a red pepper.,3.938,0.8022581,0.9952248334884644,1.0
57,57,A man is playing the drums.,A man plays the drum.,5.0,0.9967411,0.9946038126945496,1.0
58,58,A woman rides a horse.,A woman is riding a horse.,5.0,0.9967534,0.9958423972129822,1.0
59,59,A man is eating a banana by a tree.,A man is eating a banana.,4.0,0.76728505,0.9956570863723756,0.6666666666666666
60,60,A cat is playing a key board.,A man is playing two keyboards.,1.6,0.30007562,0.9930480122566224,0.0
61,61,A man chops down a tree with an axe.,A man cut a tree with an axe.,4.75,0.9849578,0.9958410859107972,1.0
62,62,A kid plays with a toy phone.,A little boy plays with a toy phone.,3.5,0.78453565,0.9957233667373656,0.0
63,63,A man is riding a motorcycle.,A man is riding a horse.,1.4,0.3089781,0.9958730340003968,0.5
64,64,A man is riding a motorcycle.,A man is riding a horse.,1.4,0.3089781,0.9958730340003968,0.5
65,65,A squirrel is spinning around in circles.,A squirrel runs around in circles.,4.0,0.83261794,0.9961569905281068,1.0
66,66,A man and a woman are kissing.,A man and woman kiss.,5.0,0.9967024,0.9931366443634032,2.0
67,67,A man is getting into a car.,A man is getting into a car in a garage.,3.833,0.7871865,0.9956947565078736,1.0
68,68,A man is dancing.,A man is talking.,0.6000000000000001,0.12826751,0.9947494864463806,1.0
69,69,A man is playing the guitar and singing.,A man is playing the guitar.,2.917,0.64176166,0.9958544969558716,1.0
70,70,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,4.2,0.9013619,0.9950469732284546,1.0
71,71,A tiger cub is making a sound.,A tiger is walking around.,2.0,0.39180326,0.99411940574646,1.0
72,72,A person is slicing onions.,A person is peeling an onion.,2.6,0.54704064,0.994978129863739,1.0
73,73,A man is playing the piano.,A man is playing the trumpet.,1.6,0.3062786,0.995769739151001,0.5
74,74,A woman is peeling a potato.,A woman is peeling an apple.,2.0,0.3935616,0.9934200644493104,0.5
75,75,A pankda is eating bamboo.,A panda bear is eating some bamboo.,4.2,0.9085027,0.9950833320617676,0.5142857142857142
76,76,A person is peeling an onion.,A person is peeling an eggplant.,2.0,0.37410656,0.9906784296035768,0.5
77,77,A monkey pushes another monkey.,The monkey pushed the other monkey.,4.8,0.9945299,0.9802995920181274,1.0
78,78,A squirrel runs around in circles.,A squirrel is moving in circles.,4.4,0.887778,0.9961659908294678,1.0
79,79,A man is tying his shoe.,A man ties his shoe.,5.0,0.99671495,0.9946829676628112,1.0
80,80,A boy is singing and playing the piano.,A boy is playing the piano.,3.0,0.587039,0.9957308173179626,1.0
81,81,A dog is eating water melon.,A dog is eating a piece of watermelon.,4.25,0.9037104,0.9962080717086792,0.5
82,82,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,4.25,0.8923284,0.9958680868148804,1.0
83,83,A man is peeling a potato.,A man peeled a potatoe.,3.8,0.7865862,0.9831807017326356,1.0
84,84,A woman is playing a guitar.,A man plays a guitar.,2.4,0.46824557,0.9942619800567628,1.0
85,85,A woman is slicing tomato.,A man is slicing onion.,1.6,0.30743372,0.995653510093689,0.5
86,86,A man swims underwater.,A woman is swimming underwater.,2.0,0.4353239,0.9956027269363404,1.0
